"Dior brand profile (luxury fashion owner)"
"Recode based on Luxury fashion awareness, popularity, ownership, loyalty and buzz by brand (multi-pick) Base: respondents who have owned luxury fashion (Sportswear, Jewelry, Luxury fashion, Outdoor fashion, Sneakers, Premium fashion)"
""
"Dior brand profile (luxury fashion owner) Question: Recode based on Luxury fashion awareness, popularity, ownership, loyalty and buzz by brand (multi-pick) Base: respondents who have owned luxury fashion (Sportswear, Jewelry, Luxury fashion, Outdoor fashion, Sneakers, Premium fashion)"
"Answers";"Total"
"";"percent"
"Base";"100%"
"Awareness";"87%"
"Popularity";"44%"
"Ownership";"31%"
"Loyalty";"22%"
"Buzz";"36%"
"Brand unknown";"13%"
""
